date,preclose,open,high,low,close,volume,amount,chg,chg.per
20060104,860.131,860.044,871.961,859.305,871.73,803901003,4000198215,11.599,1.3485
20060105,871.73,872.088,882.813,871.603,882.732,1088581159,5213044132,11.002,1.2621
20060106,882.732,884.924,896.055,879.178,891.94,1337023166,6451093877,9.208,1.0431
20060109,891.94,893.525,905.431,892.211,905.068,1236129648,6030602226,13.128,1.4718
20060110,905.068,907.635,911.294,898.73,911.191,1120008016,5314702723,6.123,0.6765
20060111,911.191,910.761,915.018,901.397,906.496,1295314172,6188643247,-4.695,-0.5153
20060112,906.496,906.939,927.42,905.426,927.42,1402461457,6571664360,20.924,2.3082
20060113,927.42,930.303,935.528,924.546,932.499,1445938893,6715980154,5.079,0.5476
20060116,932.499,933.217,935.527,919.916,920.332,1259213622,6025374116,-12.167,-1.3048
20060117,920.332,918.52,922.68,914.376,919.279,891831946,4382590624,-1.053,-0.1144
20060118,919.279,920.062,939.215,919.626,939.136,1147478663,5567521521,19.857,2.1601
20060119,939.136,941.168,950.036,935.758,949.913,1398923475,6660488215,10.777,1.1475
20060120,949.913,950.627,954.646,943.121,952.769,1477917237,7271723190,2.856,0.3007
20060123,952.769,955.086,962.084,946.604,961.069,1412571419,6867931556,8.3,0.8711
20060124,961.069,961.653,969.425,956.983,960.353,1410381926,7093103730,-0.716,-0.0745
20060125,960.353,960.027,963.742,947.296,957.787,1281711153,6429186424,-2.566,-0.2672
20060206,957.787,961.034,980.988,960.316,980.91,1292312167,6494041689,23.123,2.4142
20060207,980.91,983.339,989.696,970.307,981.574,1701690792,8731551777,0.664,0.0677
20060208,981.574,979.145,983.037,970.411,982.943,1358863093,6721582402,1.369,0.1395
20060209,982.943,982.181,982.181,967.314,969.577,1183502422,5767868742,-13.366,-1.3598
20060210,969.577,971.249,980.801,970.828,980.801,1179724437,5779585861,11.224,1.1576
20060213,980.801,981.633,981.712,967.129,977.396,1139372163,5621309832,-3.405,-0.3472
20060214,977.396,977.277,986.057,976.16,986.056,1044762810,5125475701,8.66,0.886
20060215,986.056,987.088,990.492,982.027,986.161,1232201619,5915206923,0.105,0.0106
20060216,986.161,986.326,986.326,958.18,958.59,1447752683,6889036469,-27.571,-2.7958
20060217,958.59,961.254,962.498,949.428,949.993,1124600767,5393894628,-8.597,-0.8968
20060220,949.993,949.025,952.419,942.709,943.765,982157070,4625165797,-6.228,-0.6556
20060221,943.765,943.109,960.088,933.37,960.017,1016677725,4634345661,16.252,1.722
20060222,960.017,960.103,967.607,957.663,959.947,1033943993,4748612576,-0.07,-0.0073
20060223,959.947,959.126,960.668,946.881,958.722,918400941,4143174452,-1.225,-0.1276
20060224,958.722,959.342,967.292,958.377,967.163,1000713028,4661548040,8.441,0.8804
20060227,967.163,968.211,969.339,959.446,963.379,902547290,4046904109,-3.784,-0.3912
20060228,963.379,962.524,964.948,947.866,964.726,870227494,3875932474,1.347,0.1398
20060301,964.726,966.842,972.246,963.238,972.067,965844128,4417155091,7.341,0.7609
20060302,972.067,972.15,972.15,950.38,953.369,1140765356,5300239815,-18.698,-1.9235
20060303,953.369,951.932,956.952,941.801,954.457,943555166,4461964302,1.088,0.1141
